,group,names,scores,logfoldchanges,pvals,pvals_adj
0,0,MT-ND1,35.170082,5.4256706,5.734085830596894e-271,2.5060248714040666e-266
1,0,MT-CO3,34.965252,4.064979,7.59482814786664e-268,1.659621846871818e-263
2,0,MT-CO2,33.734016,3.7950509,1.8341924987238872e-249,2.672051632140959e-245
3,0,MT-ND3,32.864998,5.742528,6.955343970824304e-237,7.599408822522634e-233
4,0,MT-ATP6,32.615692,4.7636046,2.4572971871417416e-233,2.1478743253368537e-229
5,0,MT-ND2,31.804003,5.0725927,5.698739472889498e-222,4.15096183205271e-218
6,0,MT-ND4,31.689013,3.63555,2.2016915515592682e-220,1.3746103938478038e-216
7,0,MT-CYB,30.491688,3.6688344,3.358694660573755e-204,1.834854893071442e-200
8,0,AGR2,29.619465,4.9124756,8.391444068067637e-193,4.074885239453644e-189
9,0,RAMP1,28.691994,4.8827,4.8020083261456043e-181,2.098669718858675e-177
10,0,FCGRT,28.355923,4.592442,7.074771219364795e-177,2.8108709215556277e-173
11,0,AGR3,28.2845,4.8178954,5.361062959415286e-176,1.952499129819047e-172
12,0,LGALS3,26.946852,4.2902613,6.210074985315388e-160,2.0877316704478748e-156
13,0,EPCAM,26.844816,3.9386494,9.696097899042442e-159,3.026844732712506e-155
14,0,RPS3,26.770489,2.8160405,7.130964061683716e-158,2.0776776890121676e-154
15,0,RPL29,26.61416,3.0163102,4.6546172159947417e-156,1.2714086925489635e-152
16,0,SMIM24,26.54519,4.5716195,2.9184451358483923e-155,7.5028074245363615e-152
17,0,RPS21,26.371058,3.3333833,2.9437436027087166e-153,7.147409467376763e-150
18,0,RPL18,25.667236,2.7365918,2.7151016965450437e-145,6.245305502410768e-142
19,0,CYP2W1,25.63131,4.356479,6.832540613798534e-145,1.4930467749272557e-141
20,0,IGFBP2,25.604704,4.4441934,1.3521805408484392e-144,2.814080874154295e-141
21,0,S100A10,25.214104,3.427184,2.805611255675998e-140,5.57347428718472e-137
22,0,RPLP1,24.832916,2.5771184,3.955541718353076e-136,7.516217185169689e-133
23,0,RPSA,24.817442,3.2239027,5.811994523877438e-136,1.0583642027980814e-132
24,0,CLDN3,24.635122,4.2393217,5.313149647685065e-134,9.288235688097123e-131
25,0,RPL28,24.239279,2.3853326,8.578721091025865e-130,1.442017025239209e-126
26,0,CCL25,23.914667,4.285412,2.155584734624292e-126,3.489173157111854e-123
27,0,RPS5,23.850763,2.3630164,9.943369061663084e-126,1.5520178623961552e-122
28,0,CDH17,23.642673,4.0323715,1.4039878857248793e-123,2.115858157162763e-120
29,0,MT-CO1,23.208576,2.8189037,3.7302714649400524e-119,5.434259470124669e-116
30,0,LGALS2,23.203102,4.15953,4.236413108983233e-119,5.972522532742039e-116
31,0,RPL13,22.910192,2.4276793,3.6771522708676766e-116,5.022070713937529e-113
32,0,RAB25,22.881962,3.8376539,7.026767180377483e-116,9.305994934885379e-113
33,0,MLEC,22.475258,3.7764459,7.248104658209656e-112,9.3167989994822e-109
34,0,TSPAN8,22.416315,4.135832,2.728657761512023e-111,3.407235965974899e-108
35,0,CDX1,22.324772,3.8265388,2.1237141095495786e-110,2.5781889289931884e-107
36,0,KLF5,22.280752,3.9310627,5.679712800173161e-110,6.708815357263995e-107
37,0,RACK1,22.001984,2.5276504,2.7565765884604724e-107,3.1311072436261414e-104
38,0,CD9,22.00137,3.789346,2.794096249803668e-107,3.1311072436261414e-104
39,0,REEP6,21.986998,3.7175148,3.835334646989167e-107,4.1904866353003643e-104
40,0,LAPTM4B,21.937376,3.762259,1.143112114126034e-106,1.2185017520918094e-103
41,0,S100A14,21.908318,3.6518602,2.1643237654874414e-106,2.2120076389228153e-103
42,0,FKBP11,21.908064,3.7295313,2.1763758116804195e-106,2.2120076389228153e-103
43,0,RPS7,21.793886,3.0114145,2.65162644886497e-105,2.6337882345726057e-102
44,0,CLDN4,21.7666,4.0047836,4.810236184133718e-105,4.671701382030667e-102
45,0,GCHFR,21.72372,3.6509326,1.2244754584112948e-104,1.1633581616175485e-101
46,0,TKT,21.69346,3.9059086,2.365128911706099e-104,2.1992679565362415e-101
47,0,SLC39A5,21.536251,3.6018898,7.124489540974733e-103,6.451913033224109e-100
48,0,PDLIM1,21.535545,3.8040152,7.233748366922509e-103,6.451913033224109e-100
49,0,MYC,21.50799,3.697928,1.3106106183249274e-102,1.1455785292654525e-99
50,0,GPR160,21.40922,3.5928333,1.0963429609671836e-101,9.395014267864664e-99
51,0,ANXA13,21.351448,3.801033,3.780416451915033e-101,3.177294627201819e-98
52,0,ONECUT2,21.319132,3.746662,7.544394447856673e-101,6.221136131115623e-98
53,0,ETFB,21.303627,3.8289971,1.0506449773545484e-100,8.503220016722813e-98
54,0,AGPAT2,21.223703,3.513577,5.769578176286396e-100,4.584611720298557e-97
55,0,PRELID1,21.197903,3.7149029,9.984722951702662e-100,7.792363069307379e-97
56,0,ATP5F1D,21.179943,3.755257,1.46206279495329e-99,1.1210174103620804e-96
57,0,ATP5MC1,21.165434,3.794253,1.9892199897977446e-99,1.4989115592089765e-96
58,0,CYBA,20.945848,4.0834117,2.047238090048242e-97,1.5164829404655654e-94
59,0,MTDH,20.941654,3.5296106,2.235584673650818e-97,1.6283998762872556e-94
60,0,RPL3,20.923697,2.1369567,3.258569303761215e-97,2.334631358222625e-94
61,0,PHB2,20.877783,3.7801938,8.525797855454301e-97,6.009862410883463e-94
62,0,ANXA2,20.871052,3.7239842,9.814878612584498e-97,6.808721506101474e-94
63,0,TPT1,20.84743,1.2898798,1.6083518226695196e-96,1.0983032509054481e-93
64,0,TSPAN3,20.81158,3.6266773,3.3995507538708543e-96,2.285753325341105e-93
65,0,MTATP6P1,20.765106,3.7007658,8.952758722878157e-96,5.928354048858591e-93
66,0,TIMM13,20.735153,3.848638,1.6692578279632104e-95,1.0888543897508082e-92
