latent_leiden_0.4,B cells,BEST4+ epithelial,CD4 T,CD8 T,Colonocyte,DC,EECs,Endothelial cells,Fibroblasts,Glial cells,Goblet cells,ILCs,Immune Cycling cells,LEC,Macrophages,Mast cells,Mature arterial EC,Mature venous EC,Microfold cell,Monocytes,Myofibroblasts,NK,Pericytes,Plasma cells,Stem cells,TA,Tuft cells,Arterial capillary
0,1,0,17,44,0,15,0,401,2823,1083,0,0,4,10,1776,5,13,30,0,8,25402,5,215,3,0,0,0,0
1,109,121,312,161,1171,45,1142,706,2838,1270,3438,1,36,0,727,489,34,243,0,5,371,22,70,856,7061,3764,1687,16
2,421,1,1037,246,16,50,1671,750,3102,1011,3313,2,42,21,1011,760,37,158,0,11,577,14,113,429,6791,972,2675,18
3,138,0,223,134,19,29,2,1223,8870,592,8,0,5,430,2056,871,1689,1199,0,77,110,33,4507,103,6,9,4,8
4,59,25,1522,433,1762,357,32,992,4711,974,262,0,22,0,1428,504,11,133,0,2,263,14,32,8339,22,127,7,233
5,0,2600,1,85,17009,9,76,1,1,0,868,0,0,0,9,1,1,0,1,40,0,212,0,40,0,0,1,28
6,10967,0,6358,215,12,585,0,311,830,85,7,12,46,26,446,94,1,88,0,3,156,3,25,561,3,2,0,13
7,26,16,1171,250,1578,2045,3,843,2023,133,50,1,28,0,3466,204,8,19,0,3,38,58,23,4221,0,12,0,2649
8,1,726,72,111,9347,19,633,81,391,184,2557,0,0,0,77,28,2,30,0,0,34,23,3,668,812,976,321,7
9,2,0,101,80,0,24,0,835,3658,980,0,0,0,376,1751,151,150,357,0,253,6839,7,648,2,0,0,0,0
10,1,1196,21,75,10029,9,170,12,62,8,1249,0,0,0,17,10,0,1,0,0,2,8,1,406,1,115,47,55
11,0,1127,3,38,10906,44,44,7,17,1,627,0,0,0,32,6,0,1,0,0,0,65,1,124,0,2,6,182
12,143,1,734,222,90,78,9,866,3600,1446,34,0,7,0,942,554,20,282,0,12,214,7,71,2693,94,79,9,24
13,39,0,64,49,0,1,0,65,818,159,1,0,1,10,291,42,25,20,0,0,7745,3,119,22,3,0,0,0
14,1,0,1,0,128,59,0,1,1,1,22,0,0,0,351,1,0,0,0,1318,0,1,0,66,0,1,1,0
15,6,38,26,6,528,40,4,4,49,2,184,2,0,0,7,2,0,0,94,1,1,6,0,28,78,56,50,9
