,group,names,scores,logfoldchanges,pvals,pvals_adj
0,Activated CD4 T,KLRB1,73.534256,13.155765,0.0,0.0
1,Activated CD4 T,TRAC,65.815735,10.83813,0.0,0.0
2,Activated CD4 T,TMSB4X,65.762344,3.09568,0.0,0.0
3,Activated CD4 T,CD52,64.473404,10.036132,0.0,0.0
4,Activated CD4 T,RPLP1,63.41531,1.7262554,0.0,0.0
5,Activated CD4 T,IL7R,63.066498,10.960414,0.0,0.0
6,Activated CD4 T,CD3D,62.8353,10.492278,0.0,0.0
7,Activated CD4 T,CD69,57.421253,9.271796,0.0,0.0
8,Activated CD4 T,CD3E,57.37924,9.466821,0.0,0.0
9,Activated CD4 T,ARHGDIB,54.635117,7.500922,0.0,0.0
10,Activated CD4 T,TPT1,51.21975,1.5641388,0.0,0.0
11,Activated CD4 T,LAPTM5,49.948757,7.1344514,0.0,0.0
12,Activated CD4 T,RPLP2,49.725864,1.6500231,0.0,0.0
13,Activated CD4 T,RPL28,46.853092,1.2975835,0.0,0.0
14,Activated CD4 T,RPL13,46.35759,1.0792532,0.0,0.0
15,Activated CD4 T,HLA-C-4,46.215775,6.191888,0.0,0.0
16,Activated CD4 T,PFN1,46.11149,2.6076534,0.0,0.0
17,Activated CD4 T,CD7,45.53872,7.2725086,0.0,0.0
18,Activated CD4 T,EVL,45.217583,5.576077,0.0,0.0
19,Activated CD4 T,RPL10,44.58111,1.1210389,0.0,0.0
20,Activated CD4 T,BTG1,44.53342,3.2829525,0.0,0.0
21,Activated CD4 T,UBA52,43.2083,1.4532608,0.0,0.0
22,Activated CD4 T,ANXA1,43.17584,6.6163554,0.0,0.0
23,Activated CD4 T,SH3BGRL3,42.813152,3.4779947,0.0,0.0
24,Activated CD4 T,SRGN,42.34296,6.3512278,0.0,0.0
25,Activated CD4 T,RAC2,41.758297,6.0635076,0.0,0.0
26,Activated CD4 T,RPS29,41.297535,2.181061,0.0,0.0
27,Activated CD4 T,S100A4,41.17367,6.298541,0.0,0.0
28,Activated CD4 T,CORO1A,41.165497,6.244826,0.0,0.0
29,Activated CD4 T,CD3G,40.693153,7.7999063,0.0,0.0
30,Activated CD4 T,RPS27,40.62022,1.6161643,0.0,0.0
31,Activated CD4 T,RPS15A,40.40111,1.1997181,0.0,0.0
32,Activated CD4 T,PLAAT4,40.289043,5.684194,0.0,0.0
33,Activated CD4 T,LCK,39.692917,7.146793,0.0,0.0
34,Activated CD4 T,GIMAP7,39.27128,6.37033,0.0,0.0
35,Activated CD4 T,CD37,39.148666,6.1730757,0.0,0.0
36,Activated CD4 T,LINC01871,38.66624,8.175132,0.0,0.0
37,Activated CD4 T,RPL23A,38.075302,1.1611487,0.0,0.0
38,Activated CD4 T,CD48,37.801674,6.130548,0.0,0.0
39,Activated CD4 T,CYTIP,37.68621,6.609727,0.0,0.0
40,Activated CD4 T,MYL12A,37.567,2.697964,7.436539236828893e-309,5.327975586989671e-306
41,Activated CD4 T,DUSP1,37.474747,3.9829478,2.3752940222297255e-307,1.6743524185085149e-304
42,Activated CD4 T,FYB1,37.272945,6.4004083,4.50343103755019e-304,3.1240944454776747e-301
43,Activated CD4 T,RGS1,36.156994,6.1294646,2.8887678938891906e-286,1.8566281181548998e-283
44,Activated CD4 T,RPS12,36.09767,1.0901536,2.4671499158582548e-285,1.5626713032270893e-282
45,Activated CD4 T,CD2,36.09271,7.4321,2.9512901950145394e-285,1.8426169526130775e-282
46,Activated CD4 T,ACTB,35.415108,1.5098497,9.996114445820538e-275,6.153101207607617e-272
47,Activated CD4 T,CD40LG,34.542046,9.015306,1.8764735385944885e-261,1.1234164319278565e-258
48,Activated CD4 T,HCST,34.481686,5.6298947,1.5095318999012704e-260,8.91521380449799e-258
49,Activated CD4 T,RPL32,34.45447,1.0112076,3.859694771780489e-260,2.2491213374119266e-257
50,Activated CD4 T,RPL21,33.889095,1.1749817,9.643948400235793e-252,5.473754816674092e-249
51,Activated CD4 T,FXYD5,33.774315,4.1788754,4.700915885342962e-250,2.6006180740889723e-247
52,Activated CD4 T,RPS19,33.557316,1.0903058,7.041896420667725e-247,3.8469880146107783e-244
53,Activated CD4 T,PTPRC,33.25009,5.4588695,2.035130887971143e-242,1.0716067509384439e-239
54,Activated CD4 T,MALAT1,33.173813,2.4822958,2.56915961480876e-241,1.3366970453047862e-238
55,Activated CD4 T,RPL27,33.1118,1.1768013,2.0098923308960609e-240,1.0334156991703699e-237
56,Activated CD4 T,RPL30,32.934036,1.037649,7.161284226220589e-238,3.597434089916605e-235
57,Activated CD4 T,JUNB,32.66416,2.9831142,5.043915509684463e-234,2.5049918572187478e-231
58,Activated CD4 T,ARPC1B,31.996029,4.0528636,1.2383070583442235e-224,5.947139744821532e-222
59,Activated CD4 T,DDX5,31.159466,1.7717695,3.7755682902498286e-213,1.736920384811353e-210
60,Activated CD4 T,RPL19,31.052788,0.954055,1.0461377657506885e-211,4.713443805604958e-209
61,Activated CD4 T,STK17B,31.026327,4.982036,2.3804494577769287e-211,1.0615832969661519e-208
62,Activated CD4 T,LCP1,30.376217,5.0723805,1.1324313338353393e-202,4.6690357560320437e-200
63,Activated CD4 T,RPL37,30.186344,1.2322683,3.578814269812533e-200,1.4218954440716995e-197
64,Activated CD4 T,GIMAP4,30.143278,5.1667566,1.3138565909746752e-199,5.173044004680829e-197
65,Activated CD4 T,EIF1,30.137835,1.0649921,1.548447499254097e-199,6.042263348875094e-197
66,Activated CD4 T,COTL1,29.46738,3.4776044,7.54041163093475e-191,2.8409150855032098e-188
67,Activated CD4 T,RPL34,29.2099,1.0597148,1.4517830713071004e-187,5.3770107922377555e-185
68,Activated CD4 T,CD53,29.165129,4.86007,5.371508550945332e-187,1.9563034142542898e-184
69,Activated CD4 T,RPL31,29.164757,1.4765381,5.430101035880589e-187,1.9612986419183907e-184
70,Activated CD4 T,ABRACL,28.738989,3.1369293,1.243490076683856e-181,4.4545483861796094e-179
71,Activated CD4 T,RPS21,28.675434,1.3708298,7.726205290035673e-181,2.7452526503716995e-178
72,Activated CD4 T,ARPC2,28.61908,1.8295041,3.889853075469936e-180,1.370984990405952e-177
73,Activated CD4 T,B2M-1,28.379286,3.723055,3.6435163015033385e-177,1.2637796542928723e-174
74,Activated CD4 T,RPL26,28.053923,1.0846559,3.57779433749407e-173,1.2121234397352003e-170
75,Activated CD4 T,PLAC8,28.03327,4.1204534,6.389613959854673e-173,2.1316922786373178e-170
76,Activated CD4 T,SARAF,27.811558,2.0959587,3.1441681727237456e-170,1.0178720431164339e-167
77,Activated CD4 T,CKLF,27.752007,3.8424816,1.6479983813380996e-169,5.2191392215942256e-167
78,Activated CD4 T,ARL4C,27.726738,4.7633705,3.324766713185496e-169,1.0453640606694885e-166
79,Activated CD4 T,CLEC2D,27.683538,4.945184,1.102100284139963e-168,3.440442201289496e-166
80,Activated CD4 T,SEPTIN1,27.405586,4.760175,2.352738206195473e-165,7.190494445004683e-163
81,Activated CD4 T,RPL35,27.119555,1.0232034,5.790777789010849e-162,1.7100010303441223e-159
82,Activated CD4 T,RPS20,26.992111,1.295117,1.829230931562371e-160,5.329647242200124e-158
83,Activated CD4 T,GPR183,26.939024,5.0428476,7.670364518102482e-160,2.2200371582725222e-157
84,Activated CD4 T,RPL18A,26.78113,0.91729957,5.360665806372992e-158,1.5213151844267875e-155
85,Activated CD4 T,RPS28,26.757612,1.0067943,1.0069610030935357e-157,2.82103997943589e-155
86,Activated CD4 T,RPS27A,26.558395,0.84176,2.0543004038410703e-155,5.611321553091884e-153
87,Activated CD4 T,RPS26,26.162027,1.4299722,7.191862428203756e-151,1.8934527443507047e-148
88,Activated CD4 T,TNFAIP3,25.998241,4.9139466,5.184110588873331e-149,1.348609340334048e-146
89,Activated CD4 T,LINC00892,25.846455,7.720016,2.666980886131132e-147,6.896907257247042e-145
90,Activated CD4 T,RPS10,25.707342,1.1563983,9.676004402625997e-146,2.47298301995536e-143
91,Activated CD4 T,TMIGD2,25.703953,5.7667828,1.0558170341478066e-145,2.6672501537801e-143
92,Activated CD4 T,TBC1D10C,25.632599,5.334365,6.610032293628323e-145,1.66025776644099e-142
93,Activated CD4 T,RPL36A,25.45835,1.5418428,5.7059277146455245e-143,1.3931389097255196e-140
94,Activated CD4 T,BCL11B,25.288614,4.97361,4.2622132215241936e-141,1.0234932232609524e-138
95,Activated CD4 T,RPS16,25.07552,0.8765766,9.200103792888997e-139,2.185224653067504e-136
96,Activated CD4 T,FAU,24.951492,0.92128015,2.0572309351433966e-137,4.807979721364011e-135
97,Activated CD4 T,TOMM7,24.827349,1.274261,4.543068716336845e-136,1.0450014483093974e-133
98,Activated CD4 T,ZFP36L2,24.740227,1.9039102,3.9501007250515243e-135,8.991416775398532e-133
99,Activated CD4 T,ZBTB16,24.72584,5.0685997,5.641518326365419e-135,1.2709119429663623e-132
100,Activated CD8 T,CD8A,53.99304,12.904262,0.0,0.0
101,Activated CD8 T,CD52,51.434837,10.328905,0.0,0.0
102,Activated CD8 T,TMSB4X,49.75486,2.8653405,0.0,0.0
103,Activated CD8 T,CD3D,49.349308,10.4531145,0.0,0.0
104,Activated CD8 T,TRAC,49.18388,10.213391,0.0,0.0
105,Activated CD8 T,CD3E,48.635868,10.171183,0.0,0.0
