group,n,centroid_dist,boot_mean,boot_ci_lo,boot_ci_hi,median_cell_dist,axis
Stem cells,201,2.628705,2.635953664779663,2.5019216537475586,2.781944990158081,3.44657039642334,pooled
fetal_2tri_stem_cells,3601,2.7067008,2.706439733505249,2.683115243911743,2.732780933380127,3.7487547397613525,pooled
fetal_1tri_stem_cells,3707,2.898115,2.8988654613494873,2.8753862380981445,2.9215776920318604,3.8220179080963135,pooled
enteroid_stem_cells,3439,2.9877367,2.9884536266326904,2.966998815536499,3.011493444442749,3.8022587299346924,pooled
adult_stem_cells,2535,3.5662344,3.5661492347717285,3.5552072525024414,3.57645320892334,3.7871592044830322,pooled
Proximal progenitor,26253,3.959863,3.959789752960205,3.9532508850097656,3.9662485122680664,4.564109802246094,pooled
Distal progenitor,249,3.9636307,3.9714202880859375,3.906342029571533,4.047329902648926,4.658405303955078,pooled
TA,17730,4.7640214,4.7637763023376465,4.750408172607422,4.777412414550781,5.580874919891357,pooled
Enterocyte,28523,4.83719,4.836795330047607,4.8275675773620605,4.845316410064697,5.413475513458252,pooled
Secretory progenitor,235,4.875913,4.88830041885376,4.819674968719482,4.974604606628418,5.662098407745361,pooled
Goblet,1631,5.484697,5.483980178833008,5.45154333114624,5.519712448120117,5.938671588897705,pooled
BEST4+ epithelial,469,5.569819,5.574489116668701,5.507490634918213,5.647848129272461,6.24492073059082,pooled
Colonocyte,13332,5.797018,5.797512054443359,5.779768466949463,5.815300464630127,6.421844482421875,pooled
fetal_1tri_stem_cells,3707,2.898115,2.89766788482666,2.875601291656494,2.9189980030059814,3.8220179080963135,first_trimester
Distal progenitor,188,3.9727182,3.9769842624664307,3.8984105587005615,4.052331447601318,4.681405544281006,first_trimester
Proximal progenitor,14441,4.02197,4.022373199462891,4.012235641479492,4.031879901885986,4.6914963722229,first_trimester
Enterocyte,11268,4.929832,4.929900646209717,4.9174065589904785,4.944295406341553,5.5223517417907715,first_trimester
TA,6603,4.963153,4.96504020690918,4.946377754211426,4.98612117767334,5.744314670562744,first_trimester
Colonocyte,3107,6.1421323,6.1435546875,6.11710262298584,6.169672012329102,6.630809307098389,first_trimester
fetal_2tri_stem_cells,3601,2.7067008,2.707023859024048,2.6830668449401855,2.7297592163085938,3.7487547397613525,second_trimester
Proximal progenitor,2733,3.8395617,3.8402602672576904,3.819077968597412,3.8638129234313965,4.700078010559082,second_trimester
TA,1685,4.9064417,4.907327175140381,4.856524467468262,4.956325531005859,5.872529983520508,second_trimester
Enterocyte,9855,4.9434447,4.944819450378418,4.92870569229126,4.962805271148682,5.6694488525390625,second_trimester
Colonocyte,6426,6.131572,6.132239818572998,6.117332935333252,6.148759841918945,6.617651462554932,second_trimester
