cellstates_scANVI,score_stem,score_TA,score_enterocyte,score_proximal_prog,score_goblet,score_BEST4_epi,score_EEC,score_paneth,score_tuft,score_mesenchymal,score_mesoderm,score_endothelial,score_smc,n_cells
Stem cells,0.24730489831651603,-0.1419470377497614,0.1763862267223861,0.17329489783709934,0.23286123164602904,-0.013754999956253766,-0.008268073793173335,-0.001619292438092591,-0.003644073846927913,-0.2137971240917693,-0.18243420252054307,-0.0681921585677828,-0.25367333305596973,956
Proximal progenitor,0.03686674052185112,0.003267575809681424,0.3965707938348774,0.14598333921882656,0.06317131419226284,-0.01286406369175018,-0.00660862406094869,-0.06226690358632094,-0.005375245114399096,-0.20701866326428,-0.19289971541691492,-0.06766854591383986,-0.21959003821860565,429
TA,0.028088997925093416,0.4617187221589803,0.314678067151195,0.10779682345164296,0.03521396947672607,-0.014461668337886122,-0.005435023705620284,-0.03593568994455746,-0.004447786730546106,-0.22779379937303773,-0.18850998891876378,-0.06643123451039332,-0.2604244959491108,218
Enterocyte,0.009152487588288197,-0.12149651526056941,0.6679879476556826,0.13016677553330233,0.13464959851940672,-0.01160697537401014,-0.005850378316850518,-0.058798095898412575,-0.006027539501238109,-0.24715117772273512,-0.18524734120872152,-0.06630045557116944,-0.28315522568609247,199
Mesoderm,-0.015596529427839786,-0.16440126702899024,-0.17073893339455531,-0.007860153062003,-0.20318767018220862,-0.003894073582019936,-0.013118792066768723,-0.06279170902407899,-0.005075826766539593,0.9255843833165669,-0.01657119896947121,-0.017667433080219088,0.7193855214281147,49
Myofibroblast,-0.025908886400552895,0.011284644084099016,-0.18447839758335016,0.05394126335779825,-0.17479741580669697,-0.015219320303354508,-0.008224784915263836,-0.06652857059087508,-0.0035153204049819557,0.7717659224024463,0.10383185404997605,-0.05523932594519395,0.5808858837225498,26
SMC,-0.03534039632133816,-0.17342965303987698,-0.163248430715091,-0.03136968001075413,-0.2000228560074516,-0.016558790483336517,-0.006597160075021826,-0.0649769107155178,0.01624331439750782,1.4560156253853231,0.08508237019829128,-0.06037568683209627,2.0828466097513836,23
Mesothelium,-0.027571126082364252,0.013389107292773664,-0.16185454443389294,-0.008947091757082483,-0.20146539934943705,-0.016832578088722978,-0.011410372046863333,-0.061457188456666235,-0.004521158442777746,1.1153075704245927,0.18030685957740333,-0.043542356444340125,0.6302659975313673,17
BEST4+ epithelial,-0.011534641706026515,-0.2765265763111604,0.3282722246952546,0.2373250162295806,0.17713686213126548,-0.027395916718703048,-0.013861873929317182,-0.08908313525028719,-0.007762383742210193,0.01580785014597871,-0.21294257503289443,-0.007633295915065666,-0.20738417151646737,13
Goblet cell,0.12068161249160766,0.029617358957018166,0.39774216106959753,0.05854160053389412,1.6507765906197684,0.0044695224932261865,0.01674710716520037,0.017606503168741867,-0.009410232475825718,0.06666091613439254,-0.14439138667924062,-0.06667635557197389,-0.013659933805465667,7
Stromal,-0.024485951264699296,-0.20063461515638567,-0.03575503932105171,0.06872567388746474,-0.2365684865315755,-0.014141646491156684,-0.017151922384897867,-0.06517771402994792,0.0,0.7046543877534193,0.13519018491109214,-0.0859134186638726,0.07290310223897299,3
EEC,0.04368273138999939,-0.2883483731746673,0.6393444569905599,0.0641133161385854,0.29928275680541994,0.015927403171857195,0.011879058331251142,-0.03702672104040782,-0.0018487028280893961,0.0014881010007376516,-0.16322980403900145,-0.11386528015136718,-0.3268813967704773,2
Tuft,0.07981917321681976,-0.17378023763497671,0.9606471061706543,0.0629308748245239,0.05011932611465454,-0.012525352239608765,-0.0025399425625801087,-0.03852357546488444,0.0,-0.1164146654232584,-0.16589816570281982,0.031711524625619256,-0.2782886600494385,2
Branch B,-0.037063097953796385,-0.30649808247884114,-0.24459200541178386,-0.3139196968078613,-0.23775358581542969,-0.012856386502583821,0.3427601158618927,-0.10985947926839193,-0.018280539512634277,0.2654145655005869,-0.24587173461914064,-0.06769800186157227,0.011806464195251443,1
Memory B cells,0.09764703035354613,-0.18779969533284505,-0.1813369623819987,-0.06079498569170633,-0.04876845979690553,-0.019734299977620443,-0.021847639083862305,-0.05635080337524414,0.0,0.2892217587943029,-0.1660700798034668,-0.06931029001871745,-0.05840440193812049,1
Pericyte,-0.035990662574768066,-0.12027212063471476,-0.038544759750366225,-0.2885454750061035,-0.04960999011993408,-0.014348967870076498,-0.01482195258140564,-0.07984590530395508,0.4230380280812582,2.3378922818887116,0.7049638748168946,-0.04304443995157878,0.2872086397806803,1
ILCs,-0.03973649978637695,-0.24536730448404948,-0.1463191270828247,-0.2175385856628418,-0.18694937133789064,-0.018803094228108722,0.0,-0.06874214172363281,0.0,0.18166100617611047,-0.19647628784179688,-0.08921466827392578,-0.30265844345092774,1
Colonocyte,-0.06045575141906738,-0.34068044026692706,1.9563499323527018,-0.058888858159383134,0.07426438713073732,-0.040621344248453775,-0.012819292545318604,-0.08572827021280925,-0.00860819975535075,-0.2411836978763041,-0.17063082933425905,-0.10870376586914063,-0.29837299426396685,1
