names,scores,logfoldchanges,pvals,pvals_adj,cluster,n_cells
APOA1,23.413769,3.2253623,3.0944272099358132e-121,1.3523884678303477e-116,0,363
MARCKSL1,21.945488,2.3317,9.563428823138111e-107,2.08980046643214e-102,0,363
S100A10,21.682741,1.8243,2.9855818924718724e-104,4.3493957009530235e-100,0,363
ID2,21.351093,2.2963896,3.809256422726624e-101,4.161993567471109e-97,0,363
MDK,21.133646,2.4561133,3.902284139983596e-99,3.4109085210768615e-95,0,363
ODC1,20.717596,2.7955418,2.403874533812794e-95,1.7509822104292392e-91,0,363
TMSB4X,20.263233,1.9540198,2.715290339913696e-91,1.6952721287941168e-87,0,363
ZFP36L2,20.241907,2.0981708,4.186562827067239e-91,2.2871192724268325e-87,0,363
CKB,20.218761,2.198874,6.6943820786805e-91,3.250791937407251e-87,0,363
MPC2,19.304909,1.7477504,4.8840816577606225e-83,2.1345390477077025e-79,0,363
GPC3,18.548203,2.394046,8.432475588145187e-77,3.3502992100390657e-73,0,363
RCN2,18.469755,2.361864,3.61725406935387e-76,1.3174039320586794e-72,0,363
HMGN1,18.423422,1.5028558,8.524138181245934e-76,2.6609923933798025e-72,0,363
GOLM1,18.231476,2.0353417,2.903807694082178e-74,8.331112676136867e-71,0,363
H3-3B,18.228788,1.4767926,3.0500137932040517e-74,8.331112676136867e-71,0,363
FCGRT,28.955585,2.6486404,2.386840094459293e-184,1.0431445948824892e-179,1,1073
MT1G,27.066948,3.224252,2.413059869698343e-161,5.273018427264819e-157,1,1073
TSPAN8,27.049496,2.5879054,3.871954576709821e-161,5.640663427350868e-157,1,1073
CCL25,27.032581,3.3657956,6.1213542581788764e-161,6.68819166248624e-157,1,1073
MT1E,26.216305,2.7298424,1.7322697395206554e-151,1.5141423339202145e-147,1,1073
SMIM24,25.133205,2.1977267,2.1571343748039357e-139,1.5712566786071868e-135,1,1073
ANXA13,24.73306,2.388405,4.717450677054342e-135,2.945306634142614e-131,1,1073
MT2A,24.490463,2.491124,1.8665688790820246e-132,1.01970657864251e-128,1,1073
AGR2,24.223164,2.3349557,1.2685108416310114e-129,6.159888646960191e-126,1,1073
MT1H,23.82317,3.1076427,1.9217320443369198e-125,8.398737726570075e-122,1,1073
GSTK1,23.608345,1.9020139,3.1638669805443414e-123,1.2570331137973628e-119,1,1073
KRT18,23.276787,1.7459689,7.61953462849168e-120,2.77503451169667e-116,1,1073
MT-CO2,23.134933,1.7926104,2.061574705343954e-118,6.930696994027089e-115,1,1073
LGALS3BP,23.117243,2.07714,3.1060395327558127e-118,9.696167981397146e-115,1,1073
ATP5MC1,23.081831,1.8150952,7.048803392581023e-118,2.053739356462407e-114,1,1073
MT-RNR2,22.094658,1.6718059,3.5575352772423775e-108,6.219140870264035e-105,2,653
MT-ND6,19.72896,4.7840557,1.2164579551102404e-86,6.563466477794809e-84,2,653
EME2,19.338472,8.571175,2.549122551999727e-83,1.0922240393391771e-80,2,653
ENSG00000273149,19.132027,10.845616,1.3665762058645027e-81,5.148693663888123e-79,2,653
JSRP1,19.119442,10.278232,1.7395942102549874e-81,6.498053449998629e-79,2,653
TALAM1,19.070568,7.3722787,4.434588109134956e-81,1.615076989346951e-78,2,653
ABCB9,19.000921,9.931741,1.6757951527510747e-80,5.81261518697087e-78,2,653
ENSG00000244380,18.998291,10.387685,1.761906439471773e-80,6.063177876431052e-78,2,653
ENSG00000287967,18.891321,10.170096,1.3443746970972911e-79,4.384668041935822e-77,2,653
SNX32,18.856731,9.691374,2.587315850586148e-79,8.253726418541388e-77,2,653
ENSG00000272173,18.799301,9.635559,7.651781470061822e-79,2.355024347659027e-76,2,653
BTG1-DT,18.68078,7.4641705,7.097448957450391e-78,2.0542179419629924e-75,2,653
ENSG00000279035,18.55307,9.531064,7.70244829226893e-77,2.040168485850432e-74,2,653
CATSPER2P1,18.530165,9.504018,1.1792532706254811e-76,3.031652055259766e-74,2,653
ENSG00000272256,18.499136,8.910743,2.0980981575914364e-76,5.331121039498613e-74,2,653
RPL21,18.321503,1.5766741,5.575168913281e-75,1.874286016815637e-71,3,235
RPL7,17.681974,1.6580344,5.773867195158075e-70,1.8024363706942037e-66,3,235
RPL31,17.046331,1.6412606,3.7217341002168835e-65,1.0843644474391912e-61,3,235
RPS6,16.767393,1.489728,4.2264595655024407e-63,1.1544574303169915e-59,3,235
RPL12,16.259039,1.5573581,1.9273860542481632e-59,4.954969418521278e-56,3,235
RPL34,16.08228,1.4645307,3.396445297971793e-58,7.812539226450486e-55,3,235
RPL26,15.448929,1.4741182,7.670762346947432e-54,1.5963952267190026e-50,3,235
RPS13,15.439912,1.2342136,8.822114693431047e-54,1.7525531843714113e-50,3,235
RPS15A,15.419635,1.3610257,1.2078478991495474e-53,2.29512106888834e-50,3,235
RPS4X,14.901814,1.2318044,3.2074880111192666e-50,5.607202241518256e-47,3,235
RPL35A,14.616052,1.3122202,2.219010274513756e-48,3.729985578359584e-45,3,235
RPS27,14.33263,1.4761417,1.3683793573439793e-46,2.2149500530874547e-43,3,235
RPS8,14.258201,1.0263917,3.986005807349108e-46,6.2215856358709084e-43,3,235
RPS12,13.950518,1.3774552,3.1233197229902876e-44,4.550052172452251e-41,3,235
RPL32,13.887048,1.3644505,7.589992940706841e-44,1.0700421015504896e-40,3,235
SPINK1,13.0375595,5.880148,7.481395989532226e-39,2.4466501384710342e-34,4,64
DLK1,13.006778,12.542118,1.119645862379203e-38,2.4466501384710342e-34,4,64
TM4SF1,12.570048,6.1661615,3.085349254759298e-36,4.4947367943333456e-32,4,64
MDK,11.954879,3.4471905,6.122305221326357e-33,6.689230684821177e-29,4,64
RBP1,11.821002,3.4940434,3.0403601919355584e-32,2.657518036567033e-28,4,64
H3-3B,11.216307,2.0016415,3.3913864787448555e-29,2.470285911117753e-25,4,64
CLDN10,11.074529,9.752842,1.6675549782808427e-28,1.0411260395826564e-24,4,64
RBPJ,10.806592,4.2953672,3.203512913052932e-27,1.7500791044008168e-23,4,64
MEST,10.645334,3.1537523,1.8332596118557112e-26,8.902308675171333e-23,4,64
CLU,10.600219,2.2748532,2.972854522925654e-26,1.2992563406994277e-22,4,64
TACSTD2,10.221192,6.4081507,1.5936765960162623e-24,6.3318219956631574e-21,4,64
AMBP,9.867344,4.8167276,5.767157830805343e-23,2.1003988819793058e-19,4,64
BTG1,9.598305,2.5402098,8.127022406176305e-22,2.5370241945680663e-18,4,64
CYB5A,9.49475,2.1802068,2.2074005359208228e-21,6.431482201458909e-18,4,64
BEX3,8.581781,1.6419877,9.34153199242416e-18,2.0413115709845273e-14,4,64
