gene,old_mean_log1p_CP10K,new_mean_log1p_CP10K,delta_new_minus_old,old_total,new_total,abs_delta
RPS18,5.21192,0.0,-5.21192,197106.0,0.0,5.21192
RPS2,5.049333,0.000332112,-5.049001,175168.0,1.0,5.049001
RPS3A,4.556853,0.0,-4.556853,105565.0,0.0,4.556853
RPS9,4.13037,0.000117459254,-4.130253,67356.0,1.0,4.130253
RPL7A,4.088072,0.0,-4.088072,66587.0,0.0,4.088072
RPS25,3.8754973,0.0,-3.8754973,51253.0,0.0,3.8754973
MALAT1,5.017873,1.3433862,-3.6744866,169806.0,6976.0,3.6744866
ACTG1,3.4113905,0.0,-3.4113905,34283.0,0.0,3.4113905
EEF1B2,3.3354058,0.0,-3.3354058,32260.0,0.0,3.3354058
EEF1A1,5.0180354,2.1376448,-2.8803906,169444.0,21727.0,2.8803906
RPS17,2.8699162,0.0012220053,-2.8686943,25358.0,5.0,2.8686943
EEF1D,2.2194586,0.023181727,-2.196277,9476.0,57.0,2.196277
CFL1,2.1897101,0.052096877,-2.1376133,10133.0,166.0,2.1376133
RPL22,3.4477262,1.3715844,-2.0761418,33457.0,9085.0,2.0761418
RPL41,5.2383313,3.1855447,-2.0527866,202021.0,68585.0,2.0527866
B2M,1.9724444,0.0012203079,-1.9712241,8226.0,5.0,1.9712241
EIF3L,1.9722046,0.072240144,-1.8999645,7714.0,191.0,1.8999645
LDHA,1.8308839,0.0,-1.8308839,7917.0,0.0,1.8308839
PPIA,2.5147996,0.7023968,-1.8124027,14068.0,3078.0,1.8124027
COX6A1,1.9663472,0.2103264,-1.7560208,7222.0,911.0,1.7560208
RPL39,4.6135154,2.879067,-1.7344484,115385.0,49862.0,1.7344484
TMEM141,1.8202016,0.20503058,-1.6151711,6876.0,744.0,1.6151711
SPINT2,1.6348333,0.05313078,-1.5817026,5183.0,160.0,1.5817026
LDHB,2.281246,0.78529334,-1.4959526,11174.0,3597.0,1.4959526
HMGN2,1.7901891,0.32565945,-1.4645298,6828.0,935.0,1.4645298
EIF4A1,1.4015188,0.0009925505,-1.4005263,3925.0,2.0,1.4005263
LGALS4,1.3660232,0.0,-1.3660232,8076.0,0.0,1.3660232
EIF5A,1.3368421,0.0,-1.3368421,4046.0,0.0,1.3368421
STMN1,1.3963957,0.09378453,-1.3026111,4388.0,275.0,1.3026111
